id,group,markType,markTypeName,title,lat,lng,layer,time,version,sourceUrl
1pk237840ty,地点,201,庇护所,,1387,-1457,G,1743250485558,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
1ex8a1tqqah,地点,201,庇护所,大型眠枭庇护所,497,-1225,G,1743251925145,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
1oh2dwd4wdq,地点,201,庇护所,,130,-1148,G,1743252011502,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
2l9gayvb8bu,地点,201,庇护所,,621,1403,G,1743662220778,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
26anolwjz4f,地点,201,庇护所,,579,1694,G,1743662230671,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
1ovly67y52,地点,201,庇护所,,-2,2331,G,1743662261910,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
hqnxm0vmil,地点,201,庇护所,,11,1726,G,1743662279613,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
rhl9bzuywb,地点,201,庇护所,,72,1137,G,1743662320427,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
b8ppspm32m,地点,201,庇护所,,-458,1101,G,1743662346766,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
11j5ev49y8o,地点,201,庇护所,,1257,253,G,1743662380440,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
26lnmrcdjf,地点,201,庇护所,,776,1,G,1743662404235,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
1w5jx52hagi,地点,201,庇护所,,513,94,G,1743662421298,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
276k61cy6h3,地点,201,庇护所,,-61,93,G,1743662441799,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
1ba2ql3b7bi,地点,201,庇护所,,-266,-2131,G,1743662510286,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
15de6e2vabr,地点,201,庇护所,,-695,-2094,G,1743662538759,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
zuw1xxnkfw,地点,201,庇护所,,-836,-2663,G,1743662562364,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
2h8hfx074n,地点,201,庇护所,,-1304,-1621,G,1743662805271,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
26sdqahy5c5,地点,201,庇护所,,-1653,-2993,G,1743662827653,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
491gatkjxs,地点,201,庇护所,,-2021,-1895,G,1743662851824,4,https://wiki.biligame.com/rocom/Data:Mapnew/type/201/json?action=raw
